User,creationDate,listingId,strategy,借款用途,借款金额,其他事项,协议利率,单笔最高借款金额,历史最高负债,历史记录,学习形式,工作信息,年龄,征信记录,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,资金运用情况,还款来源,逾期类型,逾期（0-15天）还清次数,逾期（15天以上）还清次数,本次借款后负债,title,投标人数,进度
,,124957965,,日常消费,"1,500",暂无,20%,"11,017.00","22,887.48",0次流标， 0次撤标， 0次失败,成人,私营业主,30,暂未提供,"10,297.61",女,13次,89次,8000-15000（含8000）,专科,6个月,88次,中央广播电视大学,2016/10/19,2016/12/31,"46,893.00",B,暂未提供,日常消费,经营收入,,1次,0次,,,,
,,124957430,,日常消费,"7,500",暂无,20%,"7,500.00","8,787.00",0次流标， 0次撤标， 0次失败,无,暂未提供,22,暂未提供,0.00,女,8次,18次,2000-5000（含2000）,无,3个月,18次,无,2017/10/04,2017/10/04,"32,868.00",B,735.00,日常消费,薪资收入,,0次,0次,,,,
,,124957614,,日常消费,"1,500",暂无,20%,"7,000.00","10,387.74",1次流标， 0次撤标， 0次失败,无,暂未提供,22,暂未提供,"9,907.84",女,8次,43次,2000-5000（含2000）,无,6个月,37次,无,2017/02/17,2017/07/17,"20,194.00",B,暂未提供,日常消费,个人存款,,6次,0次,,,,
,,124959067,,日常消费,733,暂无,20%,"3,000.00","7,041.27",0次流标， 1次撤标， 0次失败,无,暂未提供,21,暂未提供,"5,680.62",女,4次,13次,2000以下,无,6个月,13次,无,2018/02/13,2018/02/14,"8,008.00",B,暂未提供,日常消费,个人存款,,0次,0次,,,,
,,124959466,,旅游,"1,200",暂无,20%,"3,600.00","7,926.67",1次流标， 0次撤标， 0次失败,无,私营业主,25,暂未提供,"6,399.81",男,7次,23次,8000-15000（含8000）,无,3个月,23次,无,2017/10/11,2017/12/18,"15,732.00",B,暂未提供,旅游,薪资收入,,0次,0次,,,,
,,124959689,,装修,"12,400",暂无,20%,"12,400.00","14,052.12",0次流标， 0次撤标， 0次失败,无,暂未提供,38,暂未提供,0.00,女,3次,18次,2000-5000（含2000）,无,6个月,18次,无,2017/04/22,2017/04/22,"21,390.00",B,暂未提供,装修,投资收入,,0次,0次,,,,
,,124959727,,医疗,"1,000",暂无,20%,"4,000.00","12,171.52",0次流标， 1次撤标， 0次失败,无,暂未提供,22,暂未提供,"10,299.60",男,3次,6次,5000-8000（含5000）,无,6个月,6次,无,2018/05/02,2018/05/05,"11,000.00",B,"13,872.00",医疗,薪资收入,,0次,0次,,,,
,,124959950,,装修,"3,658",暂无,20%,"10,000.00","13,033.70",1次流标， 0次撤标， 0次失败,普通,私营业主,30,暂未提供,"11,101.82",女,11次,40次,15000及以上,专科,6个月,40次,常州工学院,2017/07/08,2017/07/10,"51,758.00",B,暂未提供,装修,经营收入,,0次,0次,,,,
,,124960371,,日常消费,"10,146",暂无,20%,"15,088.00","19,304.58",0次流标， 0次撤标， 0次失败,普通,私营业主,31,暂未提供,"12,350.25",男,4次,32次,15000及以上,专科,3个月,32次,常州工程职业技术学院,2015/09/11,2016/01/14,"33,588.00",B,暂未提供,日常消费,经营收入,,0次,0次,,,,
,,124960513,,日常消费,"4,000",暂无,20%,"2,000.00","2,312.26",0次流标， 0次撤标， 0次失败,无,暂未提供,22,暂未提供,"1,085.85",女,9次,40次,2000-5000（含2000）,无,6个月,40次,无,2016/10/17,2017/06/08,"11,600.00",B,暂未提供,日常消费,薪资收入,,0次,0次,,,,
