User,creationDate,listingId,title,借款用途,借款金额,协议利率,单笔最高借款金额,历史最高负债,学习形式,工作信息,年龄,待还金额,性别,成功借款次数,成功还款次数,收入情况,文化程度,期限,正常还清次数,毕业院校,注册时间,第一次成功借款时间,累计借款金额,级别,网络借贷平台借款余额,还款来源,逾期（0-15天）还清次数,逾期（15天以上）还清次数
pdu6****27431,2018-08-08 09:16:48,124296126,手机app用户的第4次闪电借款,日常消费,1160.0,20.0,8500.0,10473.66,无,私营业主,36,9828.05,女,5,15,2000-5000（含2000）,无,3,15,无,2018-02-04,2018-02-04 19:08:15,15712.0,B,0.0,经营收入,0,0
pdu4****15164,2018-08-08 09:28:13,124297654,手机app用户的借款,旅游,3100.0,20.0,7500.0,16104.02,成人,私营业主,31,8828.96,女,17,91,5000-8000（含5000）,本科,3,62,浙江师范大学,2016-11-27,2016-11-27 15:50:26,51447.0,B,0.0,薪资收入,29,0
pdu8****82380,2018-08-08 09:59:32,124302082,pdu8****82380第11次借款,日常消费,4000.0,20.0,10000.0,22338.96,普通,暂未提供,31,16354.13,女,11,77,8000-15000（含8000）,本科,3,51,山西农业大学,2016-01-24,2016-01-24 13:13:24,68306.0,B,0.0,薪资收入,26,0
pdu6****82528,2018-08-08 11:44:20,124317097,pdu6****82528第16次借款,装修,1900.0,20.0,9600.0,13540.78,无,私营业主,34,13336.52,女,18,78,15000及以上,无,3,78,无,2017-05-06,2017-06-07 13:51:20,49347.0,B,12200.0,经营收入,0,0
pdu1****70546,2018-08-08 11:56:20,124318708,手机app用户的第11次闪电借款,日常消费,5000.0,20.0,12000.0,16179.16,无,暂未提供,32,16179.16,女,14,29,5000-8000（含5000）,无,3,29,无,2017-10-02,2017-10-21 09:15:19,50335.0,B,0.0,薪资收入,0,0
pdu8****87585,2018-08-08 13:39:20,124331521,手机app用户的第5次闪电借款,日常消费,510.0,20.0,8500.0,11557.38,无,暂未提供,35,9369.96,女,7,15,5000-8000（含5000）,无,3,15,无,2018-02-07,2018-02-07 17:29:32,14960.0,B,849.0,个人存款,0,0
pdu5****50050,2018-08-08 14:37:41,124338941,pdu5****50050第8次借款,旅游,4300.0,20.0,7000.0,10338.6,无,私营业主,39,9902.14,男,9,37,5000-8000（含5000）,无,3,37,无,2017-05-22,2017-05-22 20:28:45,35700.0,B,22891.0,薪资收入,0,0
pdu****0255,2018-08-08 15:19:41,124344434,pdu1****255第9次借款,医疗,6700.0,20.0,13893.0,24065.39,成人,暂未提供,36,18067.25,女,9,69,5000-8000（含5000）,专科,3,58,中央广播电视大学,2015-08-09,2016-04-26 12:46:15,62136.0,B,170629.0,薪资收入,11,0
pdu2****88402,2018-08-08 16:20:28,124351994,pdu2****88402第6次借款,旅游,800.0,20.0,4440.0,7597.89,成人,暂未提供,32,7187.24,女,8,16,5000-8000（含5000）,本科,3,12,信阳师范学院,2017-05-27,2017-06-01 15:00:13,14687.0,B,7616.0,薪资收入,4,0
pdu2****00502,2018-08-08 17:09:32,124358391,pdu2****00502第13次借款,日常消费,922.0,20.0,3300.0,8029.88,无,暂未提供,31,7514.44,女,16,66,2000-5000（含2000）,无,3,64,无,2017-07-25,2017-07-25 20:42:11,28104.0,B,0.0,薪资收入,2,0
pdu2****00502,2018-08-08 18:35:32,124368002,pdu2****00502第14次借款,日常消费,1526.0,20.0,3300.0,8029.88,无,暂未提供,31,7514.44,女,16,66,2000-5000（含2000）,无,3,64,无,2017-07-25,2017-07-25 20:42:11,28104.0,B,0.0,薪资收入,2,0
pdu****0782,2018-08-08 19:02:01,124370489,pdu5****782第22次借款,日常消费,5546.0,20.0,12804.0,26369.05,网络教育,暂未提供,31,26393.31,女,24,131,2000-5000（含2000）,专升本,3,130,福建师范大学,2015-07-16,2015-07-16 20:37:19,131534.0,B,13607.0,薪资收入,1,0
pdu0****54045,2018-08-08 20:05:32,124376121,手机app用户的第22次闪电借款,装修,790.0,20.0,10000.0,12689.89,无,暂未提供,42,8374.76,女,23,92,2000-5000（含2000）,无,3,86,无,2017-03-27,2017-04-01 12:58:02,49911.0,B,0.0,薪资收入,6,0
